Description,Price/Unit,Unit,Price/Measure,Measure
Men Advanced Anti-Perspirant Deodorant Impact 250ml,1.00,unit,40p,100ml
Imperial Leather Mallowmazing Bath Soak 500ml,1.00,unit,20p,100ml
Lynx Body Spray Deodorant Dark Temptation 150ml,1.75,unit,1.17,100ml
Sainsbury's Shower Cream 250ml,30p,unit,12p,100ml
Tepe Interdental Brush Yellow 0.7mm x6,3.15,unit,53p,ea
Sanex Men Active Control Antiperspirant Roll On Deodorant 50ml,1.50,unit,3.00,100ml
Aussie 3 Minute Miracle Reconstructor Conditioner 250ml,5.00,unit,2.00,100ml
Simple Kind To Skin Hydrating Light Face Moisturiser 125ml,3.00,unit,2.40,100ml
Tepe Interdental Brush Red 0.5mm x6,3.15,unit,53p,ea
Poligrip Fixative Denture Cream Flavour Free 40g,2.50,unit,6.25,100g
Gillette Series Sensitive Shaving Gel 200ml,2.50,unit,1.25,100ml
Halls Citrus Sugar Free 32g,60p,unit,1.88,100g
TENA Lights Incontinence Liners x24,1.50,unit,6p,ea
Aquafresh Milk Teeth Gum Friendly 0-2 Years Kids Toothbrush,2.00,unit,2.00,ea
Impulse Body Spray Very Pink 75ml,1.00,unit,1.33,100ml
Sainsbury's Kids 2in1 Bath & Shower Wash Sensitive 500ml,1.50,unit,30p,100ml
TRESemm Colour Revitalise Colour Fade Protection Hair Shampoo 900ml,2.69,unit,30p,100ml
Imperial Leather Reviving Tropical Rainforest & Papaya Shower Gel 250ml,90p,unit,36p,100ml
